Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,tvui,postPlay,,,2025-05-31 06:07:57
Dad,tvui,postPlay,,,2025-05-31 05:34:09
Dad,tvui,playback,,,2025-05-31 05:34:09
Dad,tvui,playback,,,2025-05-31 05:34:07
Dad,tvui,postPlay,,,2025-05-31 05:34:07
Dad,tvui,movieDetails,,,2025-05-31 05:26:39
Dad,tvui,playback,,,2025-05-31 05:26:39
Dad,tvui,profilesGate,,,2025-05-31 05:11:21
Dad,tvui,movieDetails,,,2025-05-31 05:11:21
Dad,tvui,profilesGate,,,2025-05-31 05:11:20
Dad,iOS,profilesGate,,,2025-05-31 04:54:23
Dad,iOS,browseTitles,,,2025-05-31 04:54:23
Dad,iOS,profilesGate,,,2025-05-31 04:54:22
Dad,tvui,movieDetails,,,2025-05-31 03:13:05
Dad,tvui,profilesGate,,,2025-05-31 03:13:05
Dad,tvui,playback,,,2025-05-31 02:43:05
Dad,tvui,movieDetails,,,2025-05-31 02:43:05
Dad,tvui,playback,,,2025-05-31 02:05:38
Dad,tvui,movieDetails,,,2025-05-31 02:05:38
Dad,tvui,movieDetails,,,2025-05-31 02:05:34
Dad,tvui,browseTitles,,,2025-05-31 02:05:34
Dad,tvui,browseTitles,,,2025-05-31 02:05:32
Dad,tvui,profilesGate,,,2025-05-31 02:04:31
Dad,tvui,movieDetails,,,2025-05-30 13:37:26
Dad,tvui,profilesGate,,,2025-05-30 13:37:26
Dad,tvui,playback,,,2025-05-30 13:07:26
Dad,tvui,movieDetails,,,2025-05-30 13:07:26
Dad,tvui,postPlay,,,2025-05-30 13:07:18
Dad,tvui,playback,,,2025-05-30 13:07:18
Dad,tvui,playback,,,2025-05-30 13:07:12
Dad,tvui,postPlay,,,2025-05-30 13:07:12
Dad,tvui,playback,,,2025-05-30 12:38:39
Dad,tvui,movieDetails,,,2025-05-30 12:38:39
Dad,tvui,profilesGate,,,2025-05-30 12:38:36
Dad,tvui,movieDetails,,,2025-05-30 12:38:36
Dad,iOS,profilesGate,,,2025-05-30 08:46:04
Dad,iOS,browseTitles,,,2025-05-30 08:46:04
Dad,iOS,profilesGate,,,2025-05-30 08:46:03
Dad,iOS,profilesGate,,,2025-05-29 03:56:32
Dad,iOS,browseTitles,,,2025-05-29 03:56:32
Dad,iOS,profilesGate,,,2025-05-29 03:56:31
Dad,www,search,/search?q=homefron,/search?q=homefront,2025-05-28 08:55:35
Dad,www,search,/search?q=homefront,/search?q=home%20front,2025-05-28 08:55:35
Dad,www,search,/search?q=homefro,/search?q=homefron,2025-05-28 08:55:29
Dad,www,search,/search?q=homefron,/search?q=homefront,2025-05-28 08:55:29
Dad,www,search,/search?q=h,/search?q=ho,2025-05-28 08:55:28
Dad,www,search,/search?q=ho,/search?q=hom,2025-05-28 08:55:28
Dad,www,search,/search?q=ho,/search?q=hom,2025-05-28 08:55:28
Dad,www,search,/search?q=hom,/search?q=home,2025-05-28 08:55:28
